Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Assembly BioSample Accession
GCF_008694205.1	ASM869420v1	Lactobacillus crispatus		NCK971					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-09-25	VYYV01		SAMN12667796
GCF_001567095.1	ASM156709v1	Lactobacillus crispatus		JCM 5810					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-02-24	LSVK01		SAMN04498476
GCF_038001365.1	ASM3800136v1	Lactobacillus crispatus		LMG 11415					GCF_038001365.1-RS_2024_04_08	Contig	2024-04-07	JBBOJT01		SAMN33861695
GCF_009857395.1	ASM985739v1	Lactobacillus crispatus		Indica2					GCF_009857395.1-RS_2024_03_16	Contig	2020-01-12	WWFF01		SAMN13743077
GCF_016162005.1	ASM1616200v1	Lactobacillus crispatus		LB67					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-12-21	JACCPN01		SAMN15357372
GCF_016162105.1	ASM1616210v1	Lactobacillus crispatus		LB65					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-12-21	JACCPP01		SAMN15357370
GCF_007713895.1	ASM771389v1	Lactobacillus crispatus		NCK1350					GCF_007713895.1-RS_2024_03_22	Contig	2019-07-30	SGWL01		SAMN10922320
GCF_033803605.1	ASM3380360v1	Lactobacillus crispatus		UMB5393					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-11-19	JAWWWF01		SAMN38148654
GCF_033803925.1	ASM3380392v1	Lactobacillus crispatus		UMB6018					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-11-19	JAWWWV01		SAMN38148638
GCF_033803945.1	ASM3380394v1	Lactobacillus crispatus		UMB6035					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-11-19	JAWWWX01		SAMN38148636
GCF_033803625.1	ASM3380362v1	Lactobacillus crispatus		UMB5409					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-11-19	JAWWWG01		SAMN38148653
GCF_033803985.1	ASM3380398v1	Lactobacillus crispatus		UMB6021					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-11-19	JAWWWW01		SAMN38148637
GCF_014982905.1	ASM1498290v1	Lactobacillus crispatus		DSM 108970					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-10-25	JADCKH01		SAMN16401879
GCF_016162055.1	ASM1616205v1	Lactobacillus crispatus		LB64					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-12-21	JACCPQ01		SAMN15357369
GCF_016162045.1	ASM1616204v1	Lactobacillus crispatus		LB66					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-12-21	JACCPO01		SAMN15357371
GCF_002218765.1	ASM221876v1	Lactobacillus crispatus		UMNLC5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-07-14	LYQV01		SAMN04498977
GCF_014654865.1	Biofab_BC5_1.1	Lactobacillus crispatus		BC5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-09-18	WUBT01		SAMN13648610
GCF_015669875.1	ASM1566987v1	Lactobacillus crispatus		D31t1_170403_E4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-11-23	JADPAW01	46.0	SAMN15532490
GCF_032376685.1	ASM3237668v1	Lactobacillus crispatus		UMB4356					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-10-04	JAVTXE01		SAMN37434649
GCF_019278105.1	ASM1927810v1	Lactobacillus crispatus		5.1					GCF_019278105.1-RS_2024_04_04	Contig	2021-07-19	JAGSXW01		SAMN18809432
GCF_019278055.1	ASM1927805v1	Lactobacillus crispatus		8.2					GCF_019278055.1-RS_2024_04_04	Contig	2021-07-19	JAGSXU01		SAMN18809434
GCF_025194115.1	ASM2519411v1	Lactobacillus crispatus		CIRM-BIA 523					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-13	RITF01		SAMN10365338
GCF_002218695.1	ASM221869v1	Lactobacillus crispatus		UMNLC6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-07-14	LYQW01	49.0	SAMN04498978
GCF_030212645.1	ASM3021264v1	Lactobacillus crispatus		UMB9873					GCF_030212645.1-RS_2024_03_14	Contig	2023-06-07	JASOEQ01		SAMN34996756
GCF_030230815.1	ASM3023081v1	Lactobacillus crispatus		UMB10432					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-06-07	JASPEF01		SAMN35153860
GCF_012843585.1	ASM1284358v1	Lactobacillus crispatus		WCA-383-APC-5E					GCF_012843585.1-RS_2024_04_07	Contig	2020-04-25	JABAFK01		SAMN14558270
GCF_019278135.1	ASM1927813v1	Lactobacillus crispatus		7.2					GCF_019278135.1-RS_2024_04_04	Contig	2021-07-19	JAGSXV01		SAMN18809433
GCF_008694885.1	ASM869488v1	Lactobacillus crispatus		NCK972					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-09-25	VUAN01		SAMN12667797
GCF_002811165.1	ASM281116v1	Lactobacillus crispatus		DISK12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-12-05	MKXG01	450.0	SAMN05770992
GCF_008694845.1	ASM869484v1	Lactobacillus crispatus		NCK974					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-09-25	VUAP01		SAMN12667799
GCF_002218925.1	ASM221892v1	Lactobacillus crispatus		UMNLC16					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-07-14	LYRG01	56.0	SAMN04498988
GCF_002218655.1	ASM221865v1	Lactobacillus crispatus		UMNLC4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-07-14	LYQU01		SAMN04498976
GCF_002218855.1	ASM221885v1	Lactobacillus crispatus		UMNLC12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-07-14	LYRC01	59.0	SAMN04498984
GCF_038001325.1	ASM3800132v1	Lactobacillus crispatus		LMG 18200					GCF_038001325.1-RS_2024_04_08	Contig	2024-04-07	JBBOJS01		SAMN33861694
GCF_008694925.1	ASM869492v1	Lactobacillus crispatus		NCK969					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-09-25	VUAM01		SAMN12667795
GCF_008694935.1	ASM869493v1	Lactobacillus crispatus		NCK967					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-09-25	VUAL01		SAMN12667794
GCF_038001385.1	ASM3800138v1	Lactobacillus crispatus		LMG 18189					GCF_038001385.1-RS_2024_04_08	Contig	2024-04-07	JBBOJQ01		SAMN33861692
GCF_015708065.1	ASM1570806v1	Lactobacillus crispatus		CRI10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-12-01	JABERP01		SAMN14772552
GCF_002218645.1	ASM221864v1	Lactobacillus crispatus		UMNLC3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-07-14	LYQT01	64.0	SAMN04498975
GCF_002218805.1	ASM221880v1	Lactobacillus crispatus		UMNLC10					GCF_002218805.1-RS_2024_03_29	Contig	2017-07-14	LYRA01		SAMN04498982
GCF_002218615.1	ASM221861v1	Lactobacillus crispatus		UMNLC1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-07-14	LYQR01	69.0	SAMN04498973
GCF_008694865.1	ASM869486v1	Lactobacillus crispatus		NCK973					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-09-25	VUAO01		SAMN12667798
GCF_008694785.1	ASM869478v1	Lactobacillus crispatus		NCK988					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-09-25	VUAS01		SAMN12667802
GCF_002218815.1	ASM221881v1	Lactobacillus crispatus		UMNLC11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-07-14	LYRB01	73.0	SAMN04498983
GCF_002218685.1	ASM221868v1	Lactobacillus crispatus		UMNLC8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-07-14	LYQY01	74.0	SAMN04498980
GCF_027682305.1	ASM2768230v1	Lactobacillus crispatus		AF54-1pH4A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQCZY01	57.0	SAMN31807990
GCF_002218565.1	ASM221856v1	Lactobacillus crispatus		UMNLC2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-07-14	LYQS01		SAMN04498974
GCF_015708075.1	ASM1570807v1	Lactobacillus crispatus		CRI8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-12-01	JABERO01		SAMN14771635
GCF_038001345.1	ASM3800134v1	Lactobacillus crispatus		LMG 18199					GCF_038001345.1-RS_2024_04_08	Contig	2024-04-07	JBBOJR01		SAMN33861693
GCF_027680585.1	ASM2768058v1	Lactobacillus crispatus		AF71-07pH5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQDDF01	90.0	SAMN31808076
GCF_008694765.1	ASM869476v1	Lactobacillus crispatus		NCK978					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-09-25	VUAR01		SAMN12667801
GCF_001541385.1	ASM154138v1	Lactobacillus crispatus		VMC3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2016-01-26	LJGP01		SAMN03893601
GCF_002218945.1	ASM221894v1	Lactobacillus crispatus		UMNLC18					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-07-14	LYRH01	76.0	SAMN04498990
GCF_002218965.1	ASM221896v1	Lactobacillus crispatus		UMNLC19					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-07-14	LYRI01	75.0	SAMN04498991
GCF_013778545.1	ASM1377854v1	Lactobacillus crispatus		DSM 29598					GCF_013778545.1-RS_2024_04_07	Scaffold	2020-07-27	JAATOH01	57.0	SAMN14448840
GCF_002219085.1	ASM221908v1	Lactobacillus crispatus		UMNLC23					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-07-14	LYRM01	63.0	SAMN04498995
GCF_902386155.1	UHGG_MGYG-HGUT-02348	Lactobacillus crispatus					MGYG-HGUT-02348		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-08-14	CABMHY01		SAMEA5851852
GCF_002219005.1	ASM221900v1	Lactobacillus crispatus		UMNLC21					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-07-14	LYRK01	68.0	SAMN04498993
GCF_004334905.1	ASM433490v1	Lactobacillus crispatus		CG-12					GCF_004334905.1-RS_2024_03_30	Scaffold	2019-03-08	QKVQ01	62.0	SAMN09381451
GCF_002219055.1	ASM221905v1	Lactobacillus crispatus		UMNLC25					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-07-14	LYRO01	69.0	SAMN04498997
GCF_002219015.1	ASM221901v1	Lactobacillus crispatus		UMNLC24					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-07-14	LYRN01	68.0	SAMN04498996
GCF_002219045.1	ASM221904v1	Lactobacillus crispatus		UMNLC22					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-07-14	LYRL01	67.0	SAMN04498994
GCF_002218775.1	ASM221877v1	Lactobacillus crispatus		UMNLC7					GCF_002218775.1-RS_2024_03_29	Contig	2017-07-14	LYQX01		SAMN04498979
GCF_002218895.1	ASM221889v1	Lactobacillus crispatus		UMNLC15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-07-14	LYRF01	81.0	SAMN04498987
GCF_015708055.1	ASM1570805v1	Lactobacillus crispatus		CRI17					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-12-01	JABERQ01		SAMN14773342
GCF_002218975.1	ASM221897v1	Lactobacillus crispatus		UMNLC20					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-07-14	LYRJ01	67.0	SAMN04498992
GCF_016901535.1	ASM1690153v1	Lactobacillus crispatus		An726					GCF_016901535.1-RS_2024_04_05	Contig	2021-02-16	JACLZA01		SAMN14913593
GCF_002861805.1	ASM286180v1	Lactobacillus crispatus		UMB0824					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-12-28	PKIV01		SAMN08193690
GCF_038001425.1	ASM3800142v1	Lactobacillus crispatus		LMG 12005					GCF_038001425.1-RS_2024_04_08	Contig	2024-04-07	JBBOJO01		SAMN33861690
GCF_008694775.1	ASM869477v1	Lactobacillus crispatus		NCK2487					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-09-25	VUAU01		SAMN12667804
GCF_002218885.1	ASM221888v1	Lactobacillus crispatus		UMNLC14					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-07-14	LYRE01	81.0	SAMN04498986
GCF_002218735.1	ASM221873v1	Lactobacillus crispatus		UMNLC9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-07-14	LYQZ01		SAMN04498981
GCF_016161975.1	ASM1616197v1	Lactobacillus crispatus		LB69					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-12-21	JACCPL01		SAMN15357374
GCF_002863245.1	ASM286324v1	Lactobacillus crispatus		UMB0040					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-01-04	PKKH01	99.0	SAMN08193691
GCF_025194045.1	ASM2519404v1	Lactobacillus crispatus		CIRM-BIA 2233					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-09-13	RITC01	63.0	SAMN10365341
GCF_015708105.1	ASM1570810v1	Lactobacillus crispatus		CRI4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-12-01	JABERN01		SAMN14771428
GCF_030213555.1	ASM3021355v1	Lactobacillus crispatus		UMB9226					GCF_030213555.1-RS_2024_03_15	Contig	2023-06-07	JASOGN01		SAMN34996707
GCF_008694975.1	ASM869497v1	Lactobacillus crispatus		NCK953					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-09-25	VUAK01		SAMN12667793
GCF_008694985.1	ASM869498v1	Lactobacillus crispatus		NCK96					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-09-25	VUAI01		SAMN12667791
GCF_027695305.1	ASM2769530v1	Lactobacillus crispatus		LG55-27					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQEUQ01	96.0	SAMN31809622
GCF_030227885.1	ASM3022788v1	Lactobacillus crispatus		UMB0041A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-06-07	JASOZQ01		SAMN35153982
GCF_030230695.1	ASM3023069v1	Lactobacillus crispatus		UMB8929					GCF_030230695.1-RS_2024_03_14	Contig	2023-06-07	JASPEG01		SAMN35153859
GCF_016161995.1	ASM1616199v1	Lactobacillus crispatus		LB68					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-12-21	JACCPM01		SAMN15357373
GCF_030218685.1	ASM3021868v1	Lactobacillus crispatus		UMB0041					GCF_030218685.1-RS_2024_03_15	Contig	2023-06-07	JASOQG01		SAMN34996449
GCF_030230975.1	ASM3023097v1	Lactobacillus crispatus		UMB1096A					GCF_030230975.1-RS_2024_03_14	Contig	2023-06-07	JASPEI01		SAMN35153857
GCF_008079315.1	ASM807931v1	Lactobacillus crispatus		CIP 104459					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-08-23	VOMA01		SAMN12395213
GCF_027153305.1	ASM2715330v1	Lactobacillus crispatus		C0059E3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHQY01		SAMN25045904
GCF_002218845.1	ASM221884v1	Lactobacillus crispatus		UMNLC13					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-07-14	LYRD01	110.0	SAMN04498985
GCF_002861815.1	ASM286181v1	Lactobacillus crispatus		UMB0085					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-01-04	PKIW01	130.0	SAMN08193689
GCF_027153325.1	ASM2715332v1	Lactobacillus crispatus		C0059E1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHQW01		SAMN25045902
GCF_038001405.1	ASM3800140v1	Lactobacillus crispatus		LMG 12003					GCF_038001405.1-RS_2024_04_08	Contig	2024-04-07	JBBOJN01		SAMN33861689
GCF_032376885.1	ASM3237688v1	Lactobacillus crispatus		UMB6244					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-10-04	JAVTXG01		SAMN37434651
GCF_027157565.1	ASM2715756v1	Lactobacillus crispatus		C0126A3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHKX01		SAMN25045745
GCF_027157665.1	ASM2715766v1	Lactobacillus crispatus		C0127A1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHKZ01		SAMN25045747
GCF_027158705.1	ASM2715870v1	Lactobacillus crispatus		C0127A3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHLA01		SAMN25045748
GCF_027158735.1	ASM2715873v1	Lactobacillus crispatus		C0127A4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHLB01		SAMN25045749
GCF_027158765.1	ASM2715876v1	Lactobacillus crispatus		C0126A5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHKY01		SAMN25045746
GCF_027158795.1	ASM2715879v1	Lactobacillus crispatus		C0126A1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHKW01		SAMN25045744
GCF_027158825.1	ASM2715882v1	Lactobacillus crispatus		C0124A5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHKS01		SAMN25045740
GCF_027158835.1	ASM2715883v1	Lactobacillus crispatus		C0125A1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHKT01		SAMN25045741
GCF_027158845.1	ASM2715884v1	Lactobacillus crispatus		C0125A4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHKU01		SAMN25045742
GCF_027158885.1	ASM2715888v1	Lactobacillus crispatus		C0124A4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHKR01		SAMN25045739
GCF_027158905.1	ASM2715890v1	Lactobacillus crispatus		C0124A3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHKQ01		SAMN25045738
GCF_027158925.1	ASM2715892v1	Lactobacillus crispatus		C0124A1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHKP01		SAMN25045737
GCF_027158945.1	ASM2715894v1	Lactobacillus crispatus		C0022A5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHKN01		SAMN25045735
GCF_027159005.1	ASM2715900v1	Lactobacillus crispatus		C0022A4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHKM01		SAMN25045734
GCF_027159025.1	ASM2715902v1	Lactobacillus crispatus		C0022A2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHKK01		SAMN25045732
GCF_027158785.1	ASM2715878v1	Lactobacillus crispatus		C0125A5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHKV01		SAMN25045743
GCF_038001545.1	ASM3800154v1	Lactobacillus crispatus		LB105					GCF_038001545.1-RS_2024_04_08	Contig	2024-04-07	JBBOJH01		SAMN33861683
GCF_027158725.1	ASM2715872v1	Lactobacillus crispatus		C0127A5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHLC01		SAMN25045750
GCF_027158685.1	ASM2715868v1	Lactobacillus crispatus		C0127B1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHLD01		SAMN25045751
GCF_030214445.1	ASM3021444v1	Lactobacillus crispatus		UMB8789					GCF_030214445.1-RS_2024_03_15	Contig	2023-06-07	JASOID01		SAMN34996665
GCF_027153355.1	ASM2715335v1	Lactobacillus crispatus		C0059E2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHQX01		SAMN25045903
GCF_027158985.1	ASM2715898v1	Lactobacillus crispatus		C0022A3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHKL01		SAMN25045733
GCF_019537355.1	ASM1953735v1	Lactobacillus crispatus		UBLCp-01					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-08-10	JAIEUH01	153.0	SAMN20447867
GCF_032376945.1	ASM3237694v1	Lactobacillus crispatus		UMB5661					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-10-04	JAVTXN01		SAMN37434658
GCF_038001445.1	ASM3800144v1	Lactobacillus crispatus		LB138					GCF_038001445.1-RS_2024_04_08	Contig	2024-04-07	JBBOJM01		SAMN33861688
GCF_038001885.1	ASM3800188v1	Lactobacillus crispatus		LB88					GCF_038001885.1-RS_2024_04_08	Contig	2024-04-07	JBBOIQ01		SAMN33861666
GCF_027583975.1	ASM2758397v1	Lactobacillus crispatus		C0096F9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-01-06	JAKHFL01		SAMN25046018
GCF_025194085.1	ASM2519408v1	Lactobacillus crispatus		CIRM-BIA 2111					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-09-13	RITD01		SAMN10365340
GCF_008868575.1	ASM886857v1	Lactobacillus crispatus		BIO6272					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-10-07	WBOB01		SAMN12856537
GCF_002863485.1	ASM286348v1	Lactobacillus crispatus		UMB0054					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-12-28	PKKF01	163.0	SAMN08193693
GCF_027155375.1	ASM2715537v1	Lactobacillus crispatus		C0159A5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHOL01		SAMN25045838
GCF_022454895.1	ASM2245489v1	Lactobacillus crispatus		CM_G12_S863-bin_1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-03-03	JAKXBT01	107.0	SAMN25207450
GCF_027159035.1	ASM2715903v1	Lactobacillus crispatus		C0022A1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHKJ01		SAMN25045731
GCF_022454915.1	ASM2245491v1	Lactobacillus crispatus		CM_G10_S847-bin_1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-03-03	JAKXBR01	99.0	SAMN25207448
GCF_022455325.1	ASM2245532v1	Lactobacillus crispatus		CM_D05_S804-bin_1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-03-03	JAKXAP01	119.0	SAMN25207420
GCF_038001465.1	ASM3800146v1	Lactobacillus crispatus		LMG11440					GCF_038001465.1-RS_2024_04_08	Contig	2024-04-07	JBBOJP01		SAMN33861691
GCF_027583995.1	ASM2758399v1	Lactobacillus crispatus		C0096D5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-01-06	JAKHFK01		SAMN25046017
GCF_016162155.1	ASM1616215v1	Lactobacillus crispatus		LB61					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-12-21	JACCPT01		SAMN15357366
GCF_038001485.1	ASM3800148v1	Lactobacillus crispatus		LB133					GCF_038001485.1-RS_2024_04_08	Contig	2024-04-07	JBBOJK01		SAMN33861686
GCF_038002085.1	ASM3800208v1	Lactobacillus crispatus		LB74					GCF_038002085.1-RS_2024_04_08	Contig	2024-04-07	JBBOIF01		SAMN33861655
GCF_038002125.1	ASM3800212v1	Lactobacillus crispatus		LB75					GCF_038002125.1-RS_2024_04_08	Contig	2024-04-07	JBBOIG01		SAMN33861656
GCF_027155005.1	ASM2715500v1	Lactobacillus crispatus		C0161A5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHOU01		SAMN25045847
GCF_027155045.1	ASM2715504v1	Lactobacillus crispatus		C0161A4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHOT01		SAMN25045846
GCF_027155075.1	ASM2715507v1	Lactobacillus crispatus		C0161A2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHOS01		SAMN25045845
GCF_027155105.1	ASM2715510v1	Lactobacillus crispatus		C0161A1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHOR01		SAMN25045844
GCF_027155425.1	ASM2715542v1	Lactobacillus crispatus		C0159A3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHOJ01		SAMN25045836
GCF_027155435.1	ASM2715543v1	Lactobacillus crispatus		C0159A4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHOK01		SAMN25045837
GCF_027155545.1	ASM2715554v1	Lactobacillus crispatus		C0159A2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHOI01		SAMN25045835
GCF_027155575.1	ASM2715557v1	Lactobacillus crispatus		C0159A1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-20	JAKHOH01		SAMN25045834
GCF_027584095.1	ASM2758409v1	Lactobacillus crispatus		C0090B2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-01-06	JAKHFG01		SAMN25046013
GCF_038001805.1	ASM3800180v1	Lactobacillus crispatus		LB92					GCF_038001805.1-RS_2024_04_08	Contig	2024-04-07	JBBOIV01		SAMN33861671
GCF_022454275.1	ASM2245427v1	Lactobacillus crispatus		DZD_CM_30_S798-bin_2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-03-03	JAKXDB01	99.0	SAMN25207484
GCF_022455295.1	ASM2245529v1	Lactobacillus crispatus		CM_D09_S836-bin_1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-03-03	JAKXAS01	102.0	SAMN25207423
GCF_022455675.1	ASM2245567v1	Lactobacillus crispatus		CM_A08_S825-bin_2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-03-03	JAKWZW01	101.0	SAMN25207401
GCF_022454335.1	ASM2245433v1	Lactobacillus crispatus		DZD_CM_26_S794-bin_2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-03-03	JAKXCY01	113.0	SAMN25207481
